Entrez,Term
4326668,GO:0006468
4326671,GO:0006779
4326671,GO:0008152
4326671,GO:0055114
4326674,GO:0006468
4326593,GO:0006412
4326594,GO:0005978
4326594,GO:0009058
4326604,GO:0008152
4326573,GO:0005975
4326578,GO:0008152
4326581,GO:0006694
4326581,GO:0055114
4326583,GO:0015976
4326553,GO:0006364
4326554,GO:0006468
4326564,GO:0006260
4326565,GO:0055085
4326566,GO:0006355
4326567,GO:0006468
4325917,GO:0006814
4325928,GO:0006810
4326245,GO:0006811
4326245,GO:0006813
4326245,GO:0055085
4326246,GO:0006367
4326249,GO:0005975
4326249,GO:0006108
4326249,GO:0044262
4326249,GO:0055114
4326250,GO:0006629
4326253,GO:0006629
4326256,GO:0006629
4325368,GO:0006629
4325371,GO:0006629
4325379,GO:0009058
4324172,GO:0006221
4324173,GO:0006508
4324174,GO:0030833
4324176,GO:0006102
4324176,GO:0055114
4324179,GO:0006468
4324180,GO:0008152
4324182,GO:0006470
4327164,GO:0005975
4327165,GO:0006351
4327165,GO:0006355
4327166,GO:0015991
4327172,GO:0005975
4327173,GO:0006096
4327858,GO:0016226
4327859,GO:0008152
4327859,GO:0009234
4327860,GO:0005975
4327861,GO:0006508
4327861,GO:0006629
4327862,GO:0006729
4327867,GO:0030001
4327867,GO:0055085
4326850,GO:0006468
4326853,GO:0006468
4326855,GO:0006014
4326321,GO:0006184
4326321,GO:0006886
4326321,GO:0006913
4326321,GO:0007165
4326321,GO:0007264
4326321,GO:0015031
4326324,GO:0045454
4326332,GO:0006468
4326332,GO:0048544
4326333,GO:0006468
4326333,GO:0048544
4326336,GO:0006468
4326336,GO:0048544
4325895,GO:0006355
4325895,GO:0009725
4325900,GO:0006075
4325909,GO:0006468
4325509,GO:0006468
4325515,GO:0006355
4325516,GO:0006355
4325272,GO:0006811
4325272,GO:0055085
4325273,GO:0006412
4325274,GO:0006355
4325275,GO:0030001
4325277,GO:0006351
4325282,GO:0006412
4325286,GO:0006367
4324393,GO:0008152
4324394,GO:0006914
4324143,GO:0018342
4324144,GO:0006855
4324144,GO:0055085
4324149,GO:0006281
4324149,GO:0006310
4324149,GO:0051103
4324151,GO:0006200
4324151,GO:0006754
4324151,GO:0015986
4324151,GO:0015991
4324151,GO:0015992
4324151,GO:0046034
4324109,GO:0008152
4324110,GO:0008152
4324113,GO:0006396
4324117,GO:0005975
4324118,GO:0009058
4324118,GO:0071951
4327947,GO:0006468
4327951,GO:0006468
4325636,GO:0006869
4325639,GO:0009058
4325640,GO:0006289
4325650,GO:0006355
4325651,GO:0006520
4325651,GO:0008152
4325651,GO:0009088
4325287,GO:0071805
4325291,GO:0006508
4325293,GO:0008152
4325293,GO:0032259
4325296,GO:0006396
4325301,GO:0006468
4326918,GO:0006468
4326919,GO:0006468
4326920,GO:0006468
4326925,GO:0055114
