Child,Ancestor
GO:0031399,GO:0032268
GO:0015849,GO:0071702
GO:0000096,GO:0006520
GO:0006074,GO:0051273
GO:0046907,GO:0051641
GO:0046949,GO:0035337
GO:0042445,GO:0008152
GO:0048523,GO:0050794
GO:0046907,GO:0051649
GO:0006096,GO:0006090
GO:0051273,GO:0006073
GO:0006304,GO:0043412
GO:0009100,GO:1901135
GO:0043102,GO:0043094
GO:0071900,GO:0045859
GO:0046488,GO:0006650
GO:0010228,GO:0003006
GO:0072521,GO:0034641
GO:0009765,GO:0006091
GO:1903509,GO:1901135
GO:0072599,GO:0072594
GO:0052803,GO:1901564
GO:0006022,GO:0043170
GO:0009260,GO:0009165
GO:0034248,GO:0051171
GO:0051252,GO:0019219
GO:0015936,GO:0009150
GO:0009245,GO:1901271
GO:0043549,GO:0042325
GO:0006260,GO:0034645
GO:0006281,GO:0006259
GO:1901072,GO:0046348
GO:0015833,GO:0042886
GO:0008152,GO:0008150
GO:0019856,GO:0046112
GO:0009245,GO:0008654
GO:0034504,GO:0033365
GO:0009205,GO:0009144
GO:0019693,GO:0006796
GO:0006465,GO:0006518
GO:0006457,GO:0009987
GO:0008654,GO:0008610
GO:0007275,GO:0032501
GO:0016485,GO:0051604
GO:0006414,GO:0034645
GO:0044270,GO:0034641
GO:0006979,GO:0006950
GO:0006505,GO:0046488
GO:0055085,GO:0006810
GO:0019538,GO:1901564
GO:0034220,GO:0055085
GO:0000105,GO:0009073
GO:0015698,GO:0006820
GO:0048856,GO:0032502
GO:0005992,GO:0046351
GO:0072527,GO:0046483
GO:0034248,GO:0031323
GO:0009415,GO:0001101
GO:0015986,GO:0006754
GO:0034661,GO:0006401
GO:0032774,GO:0034654
GO:0010608,GO:0010468
GO:0034637,GO:0044262
GO:0110165,GO:0005575
GO:0006813,GO:0015672
GO:0050896,GO:0008150
GO:0006468,GO:0006464
GO:0006631,GO:0032787
GO:0016458,GO:0009987
GO:0019693,GO:0019637
GO:0006637,GO:0009150
GO:0098772,GO:0065009
